term,estimate,std.error,statistic,p.value,conf.low,conf.high,dataset,outcome,model_name,model_block,family_name,n,AIC,BIC,p_adj_fdr
z_featural_dist:AaA,0.252660168431456,0.134201446931961,1.8826933256506,0.060543664615223,-0.0112521856552393,0.516572522518152,stex,Speaking,z_featural_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5231.06178660088,5976.5011306272,0.121087329230446
z_script_dist,0.0937265502444524,5.96187181684846,0.015720993862964,0.987465639118037,-11.6305257727973,11.8179788732862,stex,Speaking,z_script_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5233.91181455761,5979.35115858393,0.987465639118037
AaA,-0.917455204893181,0.314335181271672,-2.9187162607174,0.00373447424370328,-1.53560753900127,-0.299302870785087,stex,Speaking,z_script_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5233.91181455761,5979.35115858393,0.0104565278823692
LoR,0.22922864865327,0.511032776825806,0.448559581788638,0.654017769708588,-0.775737141439413,1.23419443874595,stex,Speaking,z_script_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5233.91181455761,5979.35115858393,0.691037643465678
Edu.day,3.63653968508087,2.57573970712063,1.41184284849422,0.158855220347133,-1.42875241989487,8.70183179005661,stex,Speaking,z_script_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5233.91181455761,5979.35115858393,0.247108120539985
prop_female,15.6898672822863,5.00606641176965,3.13417082230434,0.00186409794909818,5.84524338553881,25.5344911790337,stex,Speaking,z_script_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5233.91181455761,5979.35115858393,0.00718372666397483
Enroll,0.412342885356604,0.115864311593096,3.5588429231316,0.000422106857708094,0.184491219624035,0.640194551089174,stex,Speaking,z_script_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5233.91181455761,5979.35115858393,0.00467727593387124
z_script_dist:AaA,0.0374509484431759,0.210982490836368,0.177507376534965,0.85920915232555,-0.377454308546566,0.452356205432918,stex,Speaking,z_script_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5233.91181455761,5979.35115858393,0.874831136913287
z_geographic_dist,-6.01872326306733,7.79798683633147,-0.771830395381741,0.440718440262279,-21.3537670361549,9.3163205100202,stex,Speaking,z_geographic_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5233.06678751925,5978.50613154557,0.558281757467127
AaA,-0.954982387142723,0.287793683915773,-3.31828820615192,0.000997629722603807,-1.52093983655831,-0.389024937727135,stex,Speaking,z_geographic_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5233.06678751925,5978.50613154557,0.0062074738295348
LoR,0.25114359054642,0.527022282796951,0.476533153804389,0.633982098939485,-0.78526618363138,1.28755336472422,stex,Speaking,z_geographic_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5233.06678751925,5978.50613154557,0.691037643465678
Edu.day,3.58663560777578,2.57158888478537,1.39471578408037,0.163956794921553,-1.47049374397383,8.64376495952539,stex,Speaking,z_geographic_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5233.06678751925,5978.50613154557,0.248150824746135
prop_female,16.1023485302851,4.99198380025922,3.2256411828598,0.00137136482525568,6.28541863565441,25.9192784249158,stex,Speaking,z_geographic_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5233.06678751925,5978.50613154557,0.00718372666397483
Enroll,0.407537466492797,0.115449019147438,3.53002103874384,0.000469136042559558,0.180502489473156,0.634572443512439,stex,Speaking,z_geographic_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5233.06678751925,5978.50613154557,0.00467727593387124
z_geographic_dist:AaA,0.259281495443577,0.283902995357498,0.91327495547232,0.361705794519333,-0.299024763914775,0.817587754801929,stex,Speaking,z_geographic_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5233.06678751925,5978.50613154557,0.471058709141457
z_genetic_dist,-3.95912163868735,4.11176553752591,-0.962876312512115,0.336252340531391,-12.0450681561729,4.12682487879821,stex,Speaking,z_genetic_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5231.20053952715,5976.63988355347,0.448336454041855
AaA,-0.90830852260712,0.287714736287168,-3.15697601842867,0.00172790774488357,-1.4741107184469,-0.342506326767338,stex,Speaking,z_genetic_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5231.20053952715,5976.63988355347,0.00718372666397483
LoR,0.330888857349756,0.5186738468542,0.637951690366933,0.523908457106272,-0.68910339352287,1.35088110822238,stex,Speaking,z_genetic_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5231.20053952715,5976.63988355347,0.624231353147899
Edu.day,3.30062655555286,2.56701003790458,1.28578638447675,0.199339491970209,-1.74749831608914,8.34875142719487,stex,Speaking,z_genetic_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5231.20053952715,5976.63988355347,0.293763461850834
prop_female,15.6101293397689,5.03894619550985,3.09789561827013,0.0021012653408,5.70084607214944,25.5194126073884,stex,Speaking,z_genetic_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5231.20053952715,5976.63988355347,0.00718372666397483
Enroll,0.463048158470761,0.129979564033336,3.5624689305159,0.00041651368845194,0.207438300966084,0.718658015975439,stex,Speaking,z_genetic_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5231.20053952715,5976.63988355347,0.00467727593387124
z_genetic_dist:AaA,0.177343990503273,0.154646693433526,1.14676871885078,0.252234622582645,-0.126774734360083,0.48146271536663,stex,Speaking,z_genetic_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5231.20053952715,5976.63988355347,0.362183047810978
