term,estimate,std.error,statistic,p.value,conf.low,conf.high,dataset,outcome,model_name,model_block,n,r.squared,adj.r.squared,AIC,BIC,p_adj_fdr
(Intercept),21.7735849056604,0.223711884309091,97.3286911998692,5.71218910829654e-104,21.3299558439551,22.2172139673657,toefl,Speaking,z_genetic_dist,single_distance,106,0.172297753064716,0.164339077613415,481.672391759865,489.662709042201,
z_genetic_dist,-1.04584361287062,0.224774654587108,-4.65285383172645,9.67897871698047e-06,-1.49158018791927,-0.600107037821962,toefl,Speaking,z_genetic_dist,single_distance,106,0.172297753064716,0.164339077613415,481.672391759865,489.662709042201,0.000193579574339609
(Intercept),21.7735849056604,0.229498872563366,94.8744743817795,7.89935143655063e-103,21.3184800290815,22.2286897822392,toefl,Speaking,z_syntactic_dist,single_distance,106,0.128921819751183,0.120546068018021,487.086685989212,495.077003271548,
z_syntactic_dist,-0.904669929649385,0.230589134626788,-3.92329816889944,0.000156995302295305,-1.36193683681371,-0.447403022485056,toefl,Speaking,z_syntactic_dist,single_distance,106,0.128921819751183,0.120546068018021,487.086685989212,495.077003271548,0.00156995302295305
(Intercept),21.7735849056604,0.238505604367163,91.2917118381061,4.12883040909109e-101,21.3006193419236,22.2465504693971,toefl,Speaking,z_morphological_dist,single_distance,106,0.0592089018671816,0.0501628336159046,495.247560594954,503.23787787729,
z_morphological_dist,-0.613084652869235,0.239638653995907,-2.55837129213598,0.0119567919375261,-1.08829709653917,-0.137872209199303,toefl,Speaking,z_morphological_dist,single_distance,106,0.0592089018671816,0.0501628336159046,495.247560594954,503.23787787729,0.0341622626786461
(Intercept),21.7735849056604,0.233819261511131,93.1214339013035,5.37346460743135e-102,21.3099125356691,22.2372572756517,toefl,Speaking,z_phonological_dist,single_distance,106,0.0958164709888131,0.0871223985944749,491.040552408436,499.030869690773,
z_phonological_dist,-0.779914558304734,0.234930048103133,-3.31977354366503,0.00124296186665767,-1.24578965979187,-0.314039456817594,toefl,Speaking,z_phonological_dist,single_distance,106,0.0958164709888131,0.0871223985944749,491.040552408436,499.030869690773,0.00497184746663069
(Intercept),21.7735849056604,0.240858599107843,90.3998652583352,1.13180544253255e-100,21.2959532650532,22.2512165462675,toefl,Speaking,z_inventory_dist,single_distance,106,0.0405544462889396,0.0313290082724871,497.328812752674,505.31913003501,
z_inventory_dist,-0.507394995708845,0.242002826921789,-2.09664904399165,0.0384502782716548,-0.987295683009898,-0.0274943084077914,toefl,Speaking,z_inventory_dist,single_distance,106,0.0405544462889396,0.0313290082724871,497.328812752674,505.31913003501,0.0714247501231837
(Intercept),21.7735849056604,0.228757931755738,95.1817702605812,1.10207099015256e-100,21.3197907042645,22.2273791070562,toefl,Speaking,mechanistic_block,mechanistic_block,106,0.159502589718637,0.12621556356888,489.298472794412,505.279107359085,
z_syntactic_dist,-0.861441208001681,0.352053549129968,-2.44690391598257,0.0161359095850178,-1.55982074811135,-0.163061667892008,toefl,Speaking,mechanistic_block,mechanistic_block,106,0.159502589718637,0.12621556356888,489.298472794412,505.279107359085,0.0403397739625445
z_morphological_dist,-0.00344391636510425,0.29847302072089,-0.0115384511363416,0.990816613222652,-0.595534101114944,0.588646268384736,toefl,Speaking,mechanistic_block,mechanistic_block,106,0.159502589718637,0.12621556356888,489.298472794412,505.279107359085,0.990816613222652
z_phonological_dist,-0.537227105778742,0.294328202910654,-1.82526547053944,0.0709163271789941,-1.12109508693681,0.0466408753793304,toefl,Speaking,mechanistic_block,mechanistic_block,106,0.159502589718637,0.12621556356888,489.298472794412,505.279107359085,0.118193878631657
z_inventory_dist,0.370245310012835,0.32671979759663,1.13321969692801,0.25980486510748,-0.27787888175898,1.01836950178465,toefl,Speaking,mechanistic_block,mechanistic_block,106,0.159502589718637,0.12621556356888,489.298472794412,505.279107359085,0.371149807296401
(Intercept),21.7735849056604,0.218767691675697,99.5283386631776,1.82746991585733e-99,21.3393915956409,22.2077782156799,toefl,Speaking,all8_block,all8_block,106,0.26175453777036,0.200868314081317,483.548418034761,510.182808975882,
z_featural_dist,1.68032514931813,3.04048517416453,0.552650334754502,0.581774185378657,-4.35419627257799,7.71484657121425,toefl,Speaking,all8_block,all8_block,106,0.26175453777036,0.200868314081317,483.548418034761,510.182808975882,0.702468960777708
z_script_dist,0.0934569323809067,0.281154081855545,0.332404679185573,0.740300972248691,-0.464556092720267,0.65146995748208,toefl,Speaking,all8_block,all8_block,106,0.26175453777036,0.200868314081317,483.548418034761,510.182808975882,0.779264181314411
z_geographic_dist,-0.541625809160687,0.326404992108138,-1.6593674185634,0.100271712197931,-1.18944936502842,0.106197746707046,toefl,Speaking,all8_block,all8_block,106,0.26175453777036,0.200868314081317,483.548418034761,510.182808975882,0.154264172612201
z_genetic_dist,-1.10924077100246,0.366360884254785,-3.02772708188749,0.00315645257890194,-1.83636571243152,-0.382115829573402,toefl,Speaking,all8_block,all8_block,106,0.26175453777036,0.200868314081317,483.548418034761,510.182808975882,0.0105215085963398
z_syntactic_dist,-0.983026413565,2.01255467676492,-0.488447059309297,0.626335646142408,-4.97739034366122,3.01133751653122,toefl,Speaking,all8_block,all8_block,106,0.26175453777036,0.200868314081317,483.548418034761,510.182808975882,0.702468960777708
z_morphological_dist,0.341423032585822,0.49349407233847,0.691848295092897,0.490685329401106,-0.638026094944803,1.32087216011645,toefl,Speaking,all8_block,all8_block,106,0.26175453777036,0.200868314081317,483.548418034761,510.182808975882,0.654247105868141
