country,country_name,country_code,confounder,source,source_name,year,timing,region
SouthAfrica,South Africa,ZAF,adult_literacy,WDI,South Africa,2019,latest_available_at_or_before_2019,
Sudan,Sudan,SDN,adult_literacy,WDI,Sudan,2008,latest_available_at_or_before_2019,
Afghanistan,Afghanistan,AFG,adult_literacy,WDI,Afghanistan,2015,latest_available_at_or_before_2019,
"Congo,Republic","Congo, Republic",COG,adult_literacy,WDI,"Congo, Rep.",2005,latest_available_at_or_before_2019,
Morocco,Morocco,MAR,adult_literacy,WDI,Morocco,2014,latest_available_at_or_before_2019,
Burundi,Burundi,BDI,adult_literacy,WDI,Burundi,2017,latest_available_at_or_before_2019,
Kenya,Kenya,KEN,adult_literacy,WDI,Kenya,2000,latest_available_at_or_before_2019,
CzechRepublic,Czech Republic,CZE,adult_literacy,WDI,Czechia,,,
"Korea,South","Korea, South",KOR,adult_literacy,WDI,"Korea, Rep.",2008,latest_available_at_or_before_2019,
Cameroon,Cameroon,CMR,adult_literacy,WDI,Cameroon,2018,latest_available_at_or_before_2019,
Senegal,Senegal,SEN,adult_literacy,WDI,Senegal,2019,latest_available_at_or_before_2019,
Ghana,Ghana,GHA,adult_literacy,WDI,Ghana,2017,latest_available_at_or_before_2019,
Canada,Canada,CAN,adult_literacy,WDI,Canada,,,
Turkey,Turkey,TUR,adult_literacy,WDI,Turkiye,2019,latest_available_at_or_before_2019,
Zimbabwe,Zimbabwe,ZWE,adult_literacy,WDI,Zimbabwe,2019,latest_available_at_or_before_2019,
Rwanda,Rwanda,RWA,adult_literacy,WDI,Rwanda,2018,latest_available_at_or_before_2019,
Netherlands,Netherlands,NLD,adult_literacy,WDI,Netherlands,,,
Nigeria,Nigeria,NGA,adult_literacy,WDI,Nigeria,2016,latest_available_at_or_before_2019,
Albania,Albania,ALB,adult_literacy,WDI,Albania,2017,latest_available_at_or_before_2019,
Yugoslavia,Yugoslavia,,adult_literacy,WDI,,,,
France,France,FRA,adult_literacy,WDI,France,,,
USSR,USSR,RUS,adult_literacy,WDI,Russian Federation,2010,latest_available_at_or_before_2019,
Australia,Australia,AUS,adult_literacy,WDI,Australia,,,
Czechslowakia,Czechslowakia,,adult_literacy,WDI,,,,
UnitedKingdom,United Kingdom,GBR,adult_literacy,WDI,United Kingdom,,,
Ethiopia,Ethiopia,ETH,adult_literacy,WDI,Ethiopia,2019,latest_available_at_or_before_2019,
Syria,Syria,SYR,adult_literacy,WDI,Syrian Arab Republic,2004,latest_available_at_or_before_2019,
Egypt,Egypt,EGY,adult_literacy,WDI,"Egypt, Arab Rep.",2017,latest_available_at_or_before_2019,
Eritrea,Eritrea,ERI,adult_literacy,WDI,Eritrea,2008,latest_available_at_or_before_2019,
Iran,Iran,IRN,adult_literacy,WDI,"Iran, Islamic Rep.",2019,latest_available_at_or_before_2019,
Algeria,Algeria,DZA,adult_literacy,WDI,Algeria,2008,latest_available_at_or_before_2019,
Lebanon,Lebanon,LBN,adult_literacy,WDI,Lebanon,2019,latest_available_at_or_before_2019,
Iraq,Iraq,IRQ,adult_literacy,WDI,Iraq,2017,latest_available_at_or_before_2019,
Libya,Libya,LBY,adult_literacy,WDI,Libya,1984,latest_available_at_or_before_2019,
UnitedStates,United States,USA,adult_literacy,WDI,United States,,,
Israel,Israel,ISR,adult_literacy,WDI,Israel,1983,latest_available_at_or_before_2019,
Kuwait,Kuwait,KWT,adult_literacy,WDI,Kuwait,2018,latest_available_at_or_before_2019,
Tunisia,Tunisia,TUN,adult_literacy,WDI,Tunisia,2019,latest_available_at_or_before_2019,
SaudiArabia,Saudi Arabia,SAU,adult_literacy,WDI,Saudi Arabia,2017,latest_available_at_or_before_2019,
Greece,Greece,GRC,adult_literacy,WDI,Greece,2009,latest_available_at_or_before_2019,
Belgium,Belgium,BEL,adult_literacy,WDI,Belgium,,,
Germany,Germany,DEU,adult_literacy,WDI,Germany,,,
